repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,stars_own_repos,contribution_period,activity_frequency,pr_requested_as_reviewer_rate
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,caaatisgood,https://github.com/caaatisgood,London,United Kingdom,51,32,62.75,8.96,109,35,9443,56,1.95,12.25
bootstrap,https://github.com/twbs/bootstrap,sankage,https://github.com/sankage,"Atlanta, GA",Gabon,17,2,11.76,12.25,2,2,5435,37,0.05,2.39
react,https://github.com/facebook/react,Ethan-Arrowood,https://github.com/Ethan-Arrowood,Colorado,United States,8,6,75.0,2.87,9,43,524,14,0.64,9.17
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,ranyitz,https://github.com/ranyitz,Amsterdam,Netherlands,63,31,49.21,10.26,58,4,4897,53,1.09,3.13
bootstrap,https://github.com/twbs/bootstrap,pthrasher,https://github.com/pthrasher,"Atlanta, GA",Gabon,113,15,13.27,11.33,51,30,2661,55,0.93,39.18
react,https://github.com/facebook/react,felipecrv,https://github.com/felipecrv,"Sergipe, Brazil",Brazil,121,77,63.64,12.02,227,46,9989,12,18.92,24.75
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,guuzaa,https://github.com/guuzaa,İstanbul,Turkey,127,34,26.77,7.82,68,5,5581,58,1.17,38.33
react,https://github.com/facebook/react,fkling,https://github.com/fkling,Germany,Germany,6,3,50.0,9.73,9,15,3684,10,0.9,33.12
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Otman404,https://github.com/Otman404,"Rabat, Morocco",Morocco,71,37,52.11,5.76,57,39,5226,6,9.5,8.58
react,https://github.com/facebook/react,montogeek,https://github.com/montogeek,"Berlin, Germany",Germany,24,8,33.33,5.24,11,27,8704,58,0.19,8.15
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,mhf-ir,https://github.com/mhf-ir,Germany,Germany,55,28,50.91,7.41,117,48,7577,7,16.71,6.15
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,cliffordfajardo,https://github.com/cliffordfajardo,"Bay Area, California",United States,17,9,52.94,8.47,21,44,9913,51,0.41,36.07
react,https://github.com/facebook/react,fpoumian,https://github.com/fpoumian,México,Mexico,123,0,0.0,9.49,0,40,23,9,0.0,28.87
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,motiko,https://github.com/motiko,Berlin,Germany,109,20,18.35,10.44,59,21,7249,33,1.79,47.45
996.ICU,https://github.com/996icu/996.ICU,Alonso0729,https://github.com/Alonso0729,Los Angeles,United States,1,0,0.0,3.46,0,32,655,27,0.0,21.18
bootstrap,https://github.com/twbs/bootstrap,kukac7,https://github.com/kukac7,"eger, hungary",Hungary,88,39,44.32,10.46,61,42,8855,27,2.26,30.05
react,https://github.com/facebook/react,Hypnosphi,https://github.com/Hypnosphi,"Gilching, Bayern",Germany,131,62,47.33,9.91,216,45,2923,1,216.0,8.34
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,mtlynch,https://github.com/mtlynch,Western Massachusetts,United States,142,109,76.76,13.07,365,30,3391,31,11.77,26.56
react,https://github.com/facebook/react,francoischalifour,https://github.com/francoischalifour,France,France,74,20,27.03,7.04,69,20,69,38,1.82,14.39
bootstrap,https://github.com/twbs/bootstrap,petetnt,https://github.com/petetnt,Finland,Finland,5,4,80.0,2.01,8,9,5669,30,0.27,3.8
react,https://github.com/facebook/react,gabelevi,https://github.com/gabelevi,"New York, NY, USA",United States,42,26,61.9,5.81,122,15,6118,47,2.6,41.92
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,Corion,https://github.com/Corion,"Frankfurt am Main, Germany",Germany,81,47,58.02,13.56,212,41,3807,7,30.29,32.97
free-programming-books,https://github.com/EbookFoundation/free-programming-books,vhf,https://github.com/vhf,Switzerland,Switzerland,109,54,49.54,2.89,260,42,8049,29,8.97,49.0
bootstrap,https://github.com/twbs/bootstrap,tierra,https://github.com/tierra,"Salt Lake City, UT",United States,39,3,7.69,7.0,4,3,2367,17,0.24,13.64
react,https://github.com/facebook/react,gabrieltrompiz,https://github.com/gabrieltrompiz,"Vancouver, BC",Canada,118,83,70.34,8.43,389,38,7837,39,9.97,37.79
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,mkaczanowski,https://github.com/mkaczanowski,Poland,Poland,52,15,28.85,7.32,61,12,7309,53,1.15,27.59
bootstrap,https://github.com/twbs/bootstrap,ggam,https://github.com/ggam,Spain,Spain,103,66,64.08,8.34,142,22,2011,29,4.9,48.34
react,https://github.com/facebook/react,GantMan,https://github.com/GantMan,New Orleans,United States,27,12,44.44,5.21,59,9,5449,3,19.67,24.0
react,https://github.com/facebook/react,airjp73,https://github.com/airjp73,Maine,United States,126,29,23.02,10.39,75,8,9498,39,1.92,47.1
tensorflow,https://github.com/tensorflow/tensorflow,gunan,https://github.com/gunan,CA,Canada,66,38,57.58,5.95,88,13,2891,39,2.26,2.88
bootstrap,https://github.com/twbs/bootstrap,bradly,https://github.com/bradly,"San Diego, California",United States,102,59,57.84,2.58,243,9,7109,12,20.25,22.48
awesome,https://github.com/sindresorhus/awesome,davisonio,https://github.com/davisonio,"London, UK",United Kingdom,113,58,51.33,10.5,171,49,6771,29,5.9,35.06
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,nebulade,https://github.com/nebulade,Berlin,Germany,124,9,7.26,7.69,13,38,5879,42,0.31,45.37
bootstrap,https://github.com/twbs/bootstrap,bastienmoulia,https://github.com/bastienmoulia,"Bayonne, France",France,129,100,77.52,8.25,391,14,540,24,16.29,14.03
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,vasanthk,https://github.com/vasanthk,San Francisco,United States,109,20,18.35,13.66,37,24,906,46,0.8,13.98
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,nymanjens,https://github.com/nymanjens,"London, UK",United Kingdom,143,88,61.54,6.88,184,24,1780,34,5.41,30.71
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,toolboc,https://github.com/toolboc,Houston,United States,105,50,47.62,1.59,86,37,351,26,3.31,48.59
bootstrap,https://github.com/twbs/bootstrap,WinterSilence,https://github.com/WinterSilence,Russian Federation,Russia,47,16,34.04,6.81,42,38,5705,31,1.35,33.03
react,https://github.com/facebook/react,Wildhoney,https://github.com/Wildhoney,"London, UK",United Kingdom,134,41,30.6,0.97,160,8,4899,54,2.96,26.23
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,jchampemont,https://github.com/jchampemont,"Paris, France",France,3,0,0.0,8.32,0,27,9313,11,0.0,32.24
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,dineshgowda24,https://github.com/dineshgowda24,Dubai,الإمارات العربية المتحدة,81,2,2.47,13.05,3,17,470,20,0.15,37.38
react,https://github.com/facebook/react,pluma,https://github.com/pluma,"Rheda-Wiedenbrück, Germany",Germany,89,62,69.66,5.56,119,18,3847,25,4.76,5.02
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,jlelse,https://github.com/jlelse,"Braunschweig, Germany",Germany,16,7,43.75,7.24,25,38,7284,30,0.83,7.07
996.ICU,https://github.com/996icu/996.ICU,jzhzj,https://github.com/jzhzj,"Arlington, VA",Holy See (Vatican City State),110,39,35.45,12.25,135,46,1385,49,2.76,11.85
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,kopylovvlad,https://github.com/kopylovvlad,Moscow,Россия,9,0,0.0,2.49,0,8,5952,48,0.0,42.12
bootstrap,https://github.com/twbs/bootstrap,ansman,https://github.com/ansman,"New York, United States",United States,121,88,72.73,6.4,376,15,634,58,6.48,17.92
react,https://github.com/facebook/react,himself65,https://github.com/himself65,"Mountain View, CA",Canada,142,48,33.8,9.26,221,0,7124,34,6.5,7.75
react,https://github.com/facebook/react,alexandrutasica,https://github.com/alexandrutasica,"Brasov, Romania",Romania,10,7,70.0,5.12,7,3,6595,40,0.17,47.55
bootstrap,https://github.com/twbs/bootstrap,rvagg,https://github.com/rvagg,"NSW, Australia",Australia,94,67,71.28,12.44,244,36,9591,58,4.21,43.33
react,https://github.com/facebook/react,theKashey,https://github.com/theKashey,Sydney,Australia,66,20,30.3,5.3,75,21,3475,12,6.25,37.15
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,dyu,https://github.com/dyu,"Cebu, Philippines",Philippines,138,78,56.52,4.67,120,12,9368,37,3.24,45.5
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,lakuapik,https://github.com/lakuapik,"Semarang, Indonesia",Indonesia,103,72,69.9,8.6,178,3,9037,6,29.67,29.36
bootstrap,https://github.com/twbs/bootstrap,codecalm,https://github.com/codecalm,"Bielsko-Biala, Poland",Poland,11,7,63.64,0.68,30,42,7132,39,0.77,0.65
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,zhouzi,https://github.com/zhouzi,France,France,111,26,23.42,6.05,40,41,2296,34,1.18,2.05
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,lotharschulz,https://github.com/lotharschulz,Berlin / Germany,Germany,129,82,63.57,2.03,314,12,6156,37,8.49,41.64
bootstrap,https://github.com/twbs/bootstrap,peterblazejewicz,https://github.com/peterblazejewicz,Warsaw/Poland,Poland,38,2,5.26,4.22,4,34,8510,38,0.11,6.75
react,https://github.com/facebook/react,apaatsio,https://github.com/apaatsio,"Helsinki, Finland",Finland,148,30,20.27,0.6,112,11,4700,4,28.0,25.12
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Oatelaus,https://github.com/Oatelaus,UK,United Kingdom,13,5,38.46,5.67,6,35,1750,37,0.16,2.67
react,https://github.com/facebook/react,anmonteiro,https://github.com/anmonteiro,"SF Bay Area, CA",Canada,140,45,32.14,10.55,180,36,5340,17,10.59,27.4
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,mniehe,https://github.com/mniehe,"Vancouver, BC",Canada,70,17,24.29,13.48,47,34,5786,20,2.35,45.22
public-apis,https://github.com/public-apis/public-apis,yannbertrand,https://github.com/yannbertrand,France,France,14,10,71.43,13.36,26,32,5014,34,0.76,19.96
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,JSchwerberg,https://github.com/JSchwerberg,"Auburn, WA",United States,40,14,35.0,0.87,64,46,6087,26,2.46,13.61
flutter,https://github.com/flutter/flutter,rami-a,https://github.com/rami-a,New York,United States,101,13,12.87,5.37,19,8,3623,59,0.32,19.74
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,schmeekygeek,https://github.com/schmeekygeek,"Mumbai, Maharashtra, India",India,96,48,50.0,6.34,62,23,5716,40,1.55,32.2
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,fwalch,https://github.com/fwalch,"Munich, Germany",Germany,118,54,45.76,4.95,191,36,7803,37,5.16,29.18
gitignore,https://github.com/github/gitignore,aroben,https://github.com/aroben,"Swarthmore, PA",Panama,79,62,78.48,4.1,180,9,9725,3,60.0,43.48
Python,https://github.com/TheAlgorithms/Python,ajinkyac03,https://github.com/ajinkyac03,Pune,India,22,12,54.55,11.41,13,37,440,9,1.44,24.85
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,hofbi,https://github.com/hofbi,Munich,Germany,79,23,29.11,3.89,106,14,1321,7,15.14,6.54
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,robbyrussell,https://github.com/robbyrussell,"Portland, Oregon USA",United States,107,17,15.89,3.67,74,12,9047,7,10.57,0.37
flutter,https://github.com/flutter/flutter,jacob314,https://github.com/jacob314,Seattle,United States,138,31,22.46,1.82,64,23,4094,32,2.0,10.36
Python,https://github.com/TheAlgorithms/Python,KumarUniverse,https://github.com/KumarUniverse,"University Park, PA",Panama,99,27,27.27,11.3,121,11,7257,17,7.12,20.84
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,abhaysnaik22,https://github.com/abhaysnaik22,"London, United Kingdom",United Kingdom,104,70,67.31,5.8,342,2,5466,59,5.8,2.48
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,cypher,https://github.com/cypher,Austria,Austria,93,71,76.34,8.27,250,44,3526,35,7.14,41.61
flutter,https://github.com/flutter/flutter,XilaiZhang,https://github.com/XilaiZhang,San Francisco Bay Area,United States,14,1,7.14,12.02,3,14,8904,45,0.07,22.7
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,abhays02,https://github.com/abhays02,India,India,28,17,60.71,9.08,78,29,4484,40,1.95,39.96
flutter,https://github.com/flutter/flutter,akbiggs,https://github.com/akbiggs,"Mountain View, California",United States,136,66,48.53,12.26,124,22,1870,19,6.53,4.63
Python,https://github.com/TheAlgorithms/Python,Akash-Jambulkar,https://github.com/Akash-Jambulkar,Bhopal,India,88,32,36.36,1.99,55,2,6662,59,0.93,45.53
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,rollingcomma,https://github.com/rollingcomma,"Surrey, BC",Canada,101,54,53.47,7.74,146,18,5139,43,3.4,10.99
CS-Notes,https://github.com/CyC2018/CS-Notes,HustCoderHu,https://github.com/HustCoderHu,GuangZhou,China,128,54,42.19,6.35,208,39,9822,3,69.33,13.78
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,sergiitk,https://github.com/sergiitk,"Sunnyvale, CA",Canada,34,7,20.59,12.57,24,6,2965,12,2.0,25.52
flutter,https://github.com/flutter/flutter,jonahwilliams,https://github.com/jonahwilliams,"San Mateo, CA",Canada,80,13,16.25,7.61,38,6,6306,57,0.67,20.19
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,ALires,https://github.com/ALires,"Eagle Mountain, Utah",United States,86,68,79.07,13.2,259,48,3289,6,43.17,31.5
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,neal,https://github.com/neal,"San Francisco, CA",Canada,20,6,30.0,5.16,9,6,78,11,0.82,23.74
flutter,https://github.com/flutter/flutter,Abhishek01039,https://github.com/Abhishek01039,India,India,77,19,24.68,6.66,92,50,7300,11,8.36,38.49
Python,https://github.com/TheAlgorithms/Python,AkshitGulyan,https://github.com/AkshitGulyan,New Delhi,India,29,15,51.72,10.81,19,39,6673,36,0.53,17.31
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,11xnt,https://github.com/11xnt,"Sydney, Australia",Australia,140,43,30.71,9.49,176,17,3228,8,22.0,34.81
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,KittyGiraudel,https://github.com/KittyGiraudel,Berlin,Germany,127,38,29.92,0.7,152,19,4487,2,76.0,30.5
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Alucard2169,https://github.com/Alucard2169,"New Delhi, India.",India,39,26,66.67,1.91,88,22,5595,29,3.03,19.24
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,nmaggioni,https://github.com/nmaggioni,Italia,Italy,130,31,23.85,10.5,64,9,2036,6,10.67,13.04
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,henrebotha,https://github.com/henrebotha,"Haarlem, The Netherlands",Netherlands,81,9,11.11,8.4,17,18,6047,60,0.28,11.84
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,RodrigoStuani,https://github.com/RodrigoStuani,"Florianópolis, SC - Brasil",Brazil,141,32,22.7,0.58,141,49,7396,4,35.25,12.6
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Bounga,https://github.com/Bounga,France,France,31,9,29.03,4.63,22,15,5726,54,0.41,40.95
Python,https://github.com/TheAlgorithms/Python,BigAlsCode,https://github.com/BigAlsCode,"Pittsburgh, PA",Panama,98,78,79.59,1.79,300,43,6219,44,6.82,17.54
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,alvyynm,https://github.com/alvyynm,EMEA,Indonesia,122,29,23.77,3.04,83,33,118,47,1.77,13.36
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,typekpb,https://github.com/typekpb,"Kosice, Slovakia",Slovakia,126,64,50.79,1.43,66,31,9401,24,2.75,32.85
flutter,https://github.com/flutter/flutter,victorsanni,https://github.com/victorsanni,"San Francisco, CA",Canada,77,57,74.03,5.16,136,37,1616,18,7.56,16.34
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,LFDM,https://github.com/LFDM,"Graz, Austria",Austria,49,34,69.39,7.07,88,24,594,56,1.57,21.32
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,AmanDevelops,https://github.com/AmanDevelops,India,India,20,16,80.0,1.17,48,15,8496,57,0.84,26.47
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,rafaelbpa,https://github.com/rafaelbpa,Brazil,Brazil,120,91,75.83,2.79,191,41,9740,39,4.9,39.38
flutter,https://github.com/flutter/flutter,nate-thegrate,https://github.com/nate-thegrate,Colorado/Utah,United States,99,35,35.35,3.89,35,15,112,25,1.4,17.88
Python,https://github.com/TheAlgorithms/Python,AlexLeka98,https://github.com/AlexLeka98,"Netherlands, Rotterdam",Netherlands,32,21,65.62,8.74,27,32,8409,31,0.87,1.43
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,amantank,https://github.com/amantank,India,India,127,81,63.78,11.63,203,45,7487,12,16.92,11.1
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,royninja,https://github.com/royninja,Kolkata,India,110,78,70.91,12.07,108,16,2394,59,1.83,16.6
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,ezhilvendhan,https://github.com/ezhilvendhan,Singapore,Singapore,13,4,30.77,6.77,15,13,2307,11,1.36,13.01
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,hammzagee,https://github.com/hammzagee,"Lahore, Pakistan",Pakistan,53,3,5.66,13.53,15,22,9229,30,0.5,42.17
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Sandesh-Pyakurel,https://github.com/Sandesh-Pyakurel,"Kathmandu, Nepal",Nepal,25,6,24.0,9.64,17,39,7116,19,0.89,31.67
flutter,https://github.com/flutter/flutter,fzyzcjy,https://github.com/fzyzcjy,Solar system,United States,16,11,68.75,0.84,46,39,7510,11,4.18,35.03
Python,https://github.com/TheAlgorithms/Python,AlexandreVelloso,https://github.com/AlexandreVelloso,Portugal,Portugal,23,8,34.78,9.34,23,7,4767,6,3.83,35.06
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,amerfarooq,https://github.com/amerfarooq,"Islamabad, Pakistan",Pakistan,112,46,41.07,6.17,229,3,2562,45,5.09,44.26
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,plysik,https://github.com/plysik,Warsaw,Poland,45,27,60.0,1.05,79,8,9423,43,1.84,26.03
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,ruduran,https://github.com/ruduran,"Zaragoza, Spain",Spain,53,23,43.4,11.99,100,39,8810,42,2.38,18.36
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,ENuge,https://github.com/ENuge,"Dublin, Ireland",Ireland,144,72,50.0,2.76,238,4,7906,18,13.22,8.8
Python,https://github.com/TheAlgorithms/Python,KPLauritzen,https://github.com/KPLauritzen,Denmark,Denmark,70,39,55.71,6.51,129,25,5155,7,18.43,49.76
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,vmalloc,https://github.com/vmalloc,Israel,Israel,52,34,65.38,3.04,159,26,5686,50,3.18,4.01
flutter,https://github.com/flutter/flutter,harryterkelsen,https://github.com/harryterkelsen,United States,United States,1,0,0.0,2.76,0,15,8451,32,0.0,32.05
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,dylanbhughes,https://github.com/dylanbhughes,"Washington, DC",United States,68,11,16.18,1.49,29,47,3514,53,0.55,33.79
Python,https://github.com/TheAlgorithms/Python,kavienanj,https://github.com/kavienanj,"Colombo, Sri Lanka",Sri Lanka,85,58,68.24,4.4,187,33,3785,40,4.67,28.1
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,amirbabaei97,https://github.com/amirbabaei97,"Frankfurt am Main, Germany",Germany,33,11,33.33,2.53,29,13,3150,22,1.32,8.64
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,thewizarodofoz,https://github.com/thewizarodofoz,"Tel Aviv, Israel",Israel,17,5,29.41,1.35,11,43,6222,27,0.41,47.02
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,amjithos,https://github.com/amjithos,"Kerala, India",India,111,68,61.26,10.27,145,47,7704,7,20.71,38.98
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,obafemitayor,https://github.com/obafemitayor,"London, United Kingdom",United Kingdom,107,13,12.15,0.73,15,42,637,52,0.29,8.12
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,romkatv,https://github.com/romkatv,Switzerland,Switzerland,27,4,14.81,3.33,14,23,2930,7,2.0,29.82
flutter,https://github.com/flutter/flutter,sethladd,https://github.com/sethladd,"Mountain View, CA",Canada,58,8,13.79,3.08,30,16,4288,9,3.33,40.94
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,illourr,https://github.com/illourr,"Boston, MA",Morocco,35,13,37.14,10.54,60,8,4832,17,3.53,5.32
Python,https://github.com/TheAlgorithms/Python,nkstonks,https://github.com/nkstonks,Melbourne,Australia,10,4,40.0,4.84,16,31,7218,32,0.5,38.29
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,shtlrs,https://github.com/shtlrs,"Paris, France.",France,21,3,14.29,9.12,15,38,3408,12,1.25,9.31
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,anaximeno,https://github.com/anaximeno,Cape Verde,Cabo Verde,45,25,55.56,3.07,70,50,6791,40,1.75,9.61
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,ohepworthbell,https://github.com/ohepworthbell,Hertfordshire,United Kingdom,100,72,72.0,10.03,116,2,7281,6,19.33,8.8
Python,https://github.com/TheAlgorithms/Python,kylepw,https://github.com/kylepw,Philadelphia,United States,141,12,8.51,5.28,33,21,7439,36,0.92,31.94
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,drepram,https://github.com/drepram,Indonesia,Indonesia,42,24,57.14,0.59,47,13,7036,19,2.47,0.73
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,mleg,https://github.com/mleg,"Moscow, Russia",Russia,137,55,40.15,7.37,75,38,6112,1,75.0,24.77
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,philippbosch,https://github.com/philippbosch,"Berlin, Germany",Germany,146,50,34.25,8.19,205,36,8595,7,29.29,44.35
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,davidluzgouveia,https://github.com/davidluzgouveia,Portugal,Portugal,146,37,25.34,8.09,154,17,1928,12,12.83,29.93
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,YoussefRabeiii,https://github.com/YoussefRabeiii,Egypt,Egypt,3,0,0.0,2.42,0,23,1852,32,0.0,25.99
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,corpulentcoffee,https://github.com/corpulentcoffee,Chicago,United States,102,27,26.47,12.63,84,13,3348,13,6.46,1.71
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,shto,https://github.com/shto,Paris,France,130,99,76.15,11.5,408,25,7118,33,12.36,40.67
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,simonc,https://github.com/simonc,Paris/France,France,69,13,18.84,1.44,37,10,972,46,0.8,17.73
flutter,https://github.com/flutter/flutter,jtmcdole,https://github.com/jtmcdole,"Sunnyvale, CA",Canada,22,9,40.91,9.96,25,29,6595,47,0.53,37.45
Python,https://github.com/TheAlgorithms/Python,MadyDixit,https://github.com/MadyDixit,India,India,21,0,0.0,5.09,0,31,740,60,0.0,49.91
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,593-ACD,https://github.com/593-ACD,idk,India,37,14,37.84,4.96,40,2,8942,38,1.05,30.49
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,YaroslavPodorvanov,https://github.com/YaroslavPodorvanov,"Kyiv, Ukraine & Antalya, Turkey",Turkey,49,21,42.86,12.21,59,13,2639,13,4.54,38.46
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,YaninaTrekhleb,https://github.com/YaninaTrekhleb,"Bay Area, California",United States,43,6,13.95,2.78,28,35,743,28,1.0,37.83
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,johnjohndoe,https://github.com/johnjohndoe,"Berlin, Germany",Germany,132,13,9.85,7.95,56,17,9408,56,1.0,15.85
Python,https://github.com/TheAlgorithms/Python,kituuu,https://github.com/kituuu,India,India,78,47,60.26,1.9,47,22,9148,23,2.04,35.2
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,AhmedIbrahimSH,https://github.com/AhmedIbrahimSH,"Cairo,Egypt",Egypt,69,30,43.48,8.99,121,10,6578,59,2.05,12.73
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,xiaomingfu,https://github.com/xiaomingfu,SF Bay Area,United States,47,10,21.28,11.35,29,28,5247,45,0.64,34.97
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,justinj,https://github.com/justinj,"Brooklyn, NY",United States,46,18,39.13,5.1,68,0,2072,17,4.0,22.68
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,moinakg,https://github.com/moinakg,Bangalore,India,71,8,11.27,5.46,23,36,6556,34,0.68,22.61
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,JoseBalado,https://github.com/JoseBalado,"Santiago de Compostela, Spain",Spain,111,64,57.66,12.06,73,36,8979,42,1.74,7.62
Python,https://github.com/TheAlgorithms/Python,jeertmans,https://github.com/jeertmans,Belgium,Belgium,99,49,49.49,2.16,115,10,8796,3,38.33,0.08
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Adaverse,https://github.com/Adaverse,Bangalore,India,3,2,66.67,10.78,9,37,250,39,0.23,17.9
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,masnick,https://github.com/masnick,"Cleveland, OH",United States,26,10,38.46,8.91,14,30,3493,16,0.88,6.76
flutter,https://github.com/flutter/flutter,ditman,https://github.com/ditman,"Seattle, WA",United States,90,26,28.89,3.73,102,30,8706,25,4.08,23.39
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,JohnTigue,https://github.com/JohnTigue,Cascadia,United States,123,44,35.77,7.93,90,49,3249,30,3.0,1.77
Python,https://github.com/TheAlgorithms/Python,JadeKim042386,https://github.com/JadeKim042386,South Korea,"Korea, Republic of",30,10,33.33,3.61,24,1,3271,60,0.4,47.55
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Akku-Rawat,https://github.com/Akku-Rawat,Dehradun,India,148,116,78.38,11.41,255,28,4119,59,4.32,46.2
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vladsosnov,https://github.com/vladsosnov," Krakow, Poland",Poland,61,4,6.56,12.96,15,5,6792,33,0.45,49.35
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,markdrago,https://github.com/markdrago,"New York, NY",United States,78,10,12.82,2.4,37,12,6028,20,1.85,29.65
Python,https://github.com/TheAlgorithms/Python,juliaaragao,https://github.com/juliaaragao,"Itabira, MG",Brazil,8,1,12.5,9.17,3,44,1925,16,0.19,32.03
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,albertobelalcazar,https://github.com/albertobelalcazar,Sweden,Sweden,51,24,47.06,6.33,35,13,5015,27,1.3,16.44
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vilanz,https://github.com/vilanz,"Curitiba, Brazil",Brazil,78,20,25.64,2.78,85,48,2222,14,6.07,34.35
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,joahg,https://github.com/joahg,"Austin, Texas",United States,80,41,51.25,10.29,193,28,9308,14,13.79,17.76
